title,price,rating,location,duration,category,lon,lat,distance,duration_hours,pref_score
Camping with Adventure Activities in Solang Valley,2000.0,3.0,Manali,3D/2N,rock climbing,,,,72.0,-8.701906297702923
Rock Climbing In Rishikesh With Rappelling,470.0,5.0,Rishikesh,1H,rock climbing,78.3805095,30.1347166,1348.4871450056426,1.0,4.969109166183165
Day Out at Silver Sands Beach Resort Chennai,999.0,4.0,Chennai,8H,rock climbing,,,,8.0,0.10993070471002953
Rock Climbing In Hyderabad,1000.0,5.0,Hyderabad,2H,rock climbing,78.1278513,17.4121531,585.5064314329514,2.0,11.977300130328
Rock Climbing and Rappelling at Mount Abu,1049.0,3.0,Sirohi,1H,rock climbing,,,,1.0,-7.2815397887981375
Multi Activity Tour at Mungpoo in West Bengal,1499.0,4.0,Darjeeling,6H,rock climbing,,,,6.0,0.03286493665813617
Adventure at Charan Beel,1699.0,3.0,Guwahati,6H,rock climbing,,,,6.0,-7.511140617693553
Water Zorbing in Bhimtal,300.0,4.0,Bhimtal,,zorbing,,,,,-0.29902329876161415
Water Zorbing in Nainital | Book Online & Get Flat 28% off,250.0,5.0,Nainital,,zorbing,,,,,7.211645525403879
Water Zorbing near Jim Corbett Flat 10% off,270.0,4.0,Ramnagar,,zorbing,,,,,-0.29235595272437487
Lawn Zorbing near Jim Corbett Flat 10% off,270.0,4.0,Ramnagar,,zorbing,,,,,-0.29235595272437487
Zorbing in Shimla,350.0,4.0,Tattapani,1H,zorbing,77.088981,31.0782005,1398.672051794801,1.0,-2.9736080514999363
Camping with Fun Filled Activities near Delhi,1880.0,3.0,Faridabad,2D/1N,zorbing,,,,48.0,-8.26655692272885
Zorbing in Bangalore,190.0,4.0,Bangalore,,zorbing,77.3507442,12.9538477,827.8763389290255,,1.7222268527621323
Surf through Thrilling Waves in Pondicherry,2500.0,4.0,Pondicherry,1D,surfing,,,,24.0,-0.4961121692365822
Surfing In Chennai,1149.0,4.0,Chennai,1H,surfing,,,,1.0,0.19579230518115942
Camping and Surfing at Kovalam Chennai - Flat 17% Off,3199.0,5.0,Chennai,2D/1N,surfing,,,,48.0,6.439415258040723
